Ticker;Pre�o Cota (R$);Tipo;DY (%);Dividendo/Cota (R$);P/VP;Patrim. L��q (R$);N� de Cotas;Data
QAGR11;410;Outros;129;53;68;305011000;5040000;10/09/2025
RBCO11;440;Lajes Corporativas;84;372;49;337476000;3779001;10/09/2025
RBDS11;20;Residencial;0;0;11;2342220;126523;10/09/2025
RBIR11;8915;Residencial;80;697;89;152902000;1528615;10/09/2025
RBLG11;380;Logística;207;786;57;42425000;640199;10/09/2025
RBOP11;21049;Outros;60;127;31;69575700;101664;10/09/2025
RBRL11;8222;Logística;109;903;78;701052000;6687035;10/09/2025
RBRP11;499;Outros;109;55;65;932084000;12179187;10/09/2025
RBRS11;480;Híbrido;29;142;5;166303000;1734299;10/09/2025
RBRX11;769;Títulos e Val. Mob.;128;101;79;287992000;29468659;10/09/2025
RBTS11;3500;Outros;75;679;92;21480500;56525;10/09/2025
RBVA11;845;Outros;118;97;79;1659680000;156143050;10/09/2025
RCRB11;1254;Lajes Corporativas;81;1019;62;740716000;3690695;10/09/2025
RECR11;8141;Títulos e Val. Mob.;146;1205;91;2352740000;26441650;10/09/2025
RECT11;310;Híbrido;138;433;34;776670000;8543493;10/09/2025
RELG11;665;Híbrido;102;683;79;112189000;1334562;10/09/2025
RMAI11;8179;Híbrido;73;603;77;260588000;2443800;10/09/2025
RNGO11;4995;Lajes Corporativas;89;449;6;224248000;2676000;10/09/2025
ROOF11;3864;Outros;0;0;94;31957700;77495;10/09/2025
RSPD11;100999;Residencial;118;11869;96;156085000;149011;10/09/2025
RZAT11;8865;Híbrido;139;1246;87;429143000;4235042;10/09/2025
RZEO11;1930;Outros;237;5582;95;639681000;3152924;10/09/2025
RZTR11;893;Títulos e Val. Mob.;136;1225;92;1821200000;18851720;10/09/2025
RZZR11;1400;Outros;99;1352;79;914322000;5190038;10/09/2025
SARE11;447;Híbrido;56;25;58;715852000;92343290;10/09/2025
SCPF11;297;Híbrido;0;0;28;44602100;4200000;10/09/2025
SEQR11;4829;Outros;143;698;52;154768000;1665695;10/09/2025
SHOP11;280;Híbrido;0;0;86;73658000;2252247;10/09/2025
SHPH11;9800;Shoppings;82;8177;97;617433000;608950;10/09/2025
SNAG11;952;Híbrido;133;127;93;620589000;60740353;10/09/2025
SNEL11;838;Híbrido;140;96;103;311114000;38334202;10/09/2025
SNFZ11;975;Híbrido;81;8;99;61265800;6200000;10/09/2025
SNLG11;135;Híbrido;7;266;429;796398;2529966;10/09/2025
SNME11;955;Híbrido;130;128;98;71933800;7418243;10/09/2025
SPTW11;3374;Lajes Corporativas;147;504;58;104784000;1798000;10/09/2025
TELM11;985;Híbrido;84;84;10;21174400;2147362;10/09/2025
TEPP11;7896;Lajes Corporativas;132;1051;81;411153000;4221967;10/09/2025
TGAR11;844;Híbrido;148;1266;76;2619550000;23567968;10/09/2025
TJKB11;2500;Lajes Corporativas;140;3191;96;303785000;1164647;10/09/2025
TOPP11;6836;Outros;119;826;65;475018000;4528240;10/09/2025
TORD11;326;Híbrido;37;12;9;208659000;5841892;10/09/2025
TRBL11;5785;Logística;132;77;67;671959000;7739092;10/09/2025
TRNT11;970;Lajes Corporativas;0;0;55;696001000;3935562;10/09/2025
TRXB11;14202;Híbrido;154;2071;136;391074000;3746020;10/09/2025
TRXF11;9707;Híbrido;135;1331;93;2081230000;20035563;10/09/2025
TSER11;970;Lajes Corporativas;128;1168;99;135643000;1384760;10/09/2025
TSNC11;8272;Híbrido;0;0;103;87180000;1086780;10/09/2025
TVRI11;9159;Lajes Corporativas;131;1213;88;1654570000;15919690;10/09/2025
VCRR11;630;Logística;102;65;5;253896000;2000000;10/09/2025
VGRI11;847;Títulos e Val. Mob.;191;164;8;369986000;35021736;10/09/2025
VILG11;8064;Logística;97;787;72;1686390000;14997396;10/09/2025
VINO11;487;Lajes Corporativas;129;64;48;845429000;82826295;10/09/2025
VISC11;10289;Shoppings;93;965;83;3570560000;28828640;10/09/2025
VIUR11;537;Outros;148;8;61;235535000;26946220;10/09/2025
VRTM11;683;Híbrido;154;107;74;435302000;46971245;10/09/2025
VSHO11;730;Shoppings;111;82;63;242411000;2098800;10/09/2025
VTLT11;8516;Logística;134;1154;82;219655000;2115000;10/09/2025
VVMR11;849;Híbrido;28;236;79;301559000;2823180;10/09/2025
VVRI11;869;Híbrido;100;887;93;75281400;802683;10/09/2025
VXXV11;7000;Outros;0;0;114;169705000;276446;10/09/2025
WHGR11;861;Híbrido;130;114;88;301970000;30912379;10/09/2025
WPLZ11;499;Shoppings;96;468;75;77891200;1170000;10/09/2025
WTSP11;555;Híbrido;199;1293;66;104395000;1238572;10/09/2025
XPCM11;81;Lajes Corporativas;0;0;31;63404800;2414570;10/09/2025
XPIN11;6868;Outros;126;876;66;744290000;7150422;10/09/2025
XPLG11;9798;Logística;98;956;92;3332660000;31175931;10/09/2025
XPML11;9853;Shoppings;110;1093;84;6658220000;56720787;10/09/2025
ZAGH11;1005;Híbrido;74;71;106;84492300;8891662;10/09/2025
ZAVI11;8536;Híbrido;158;1363;63;159179000;1173322;10/09/2025
ABCP11;;Shoppings;18,2;776,5;79;754425000;4710082;10/08/2025
AIEC11;;Lajes Corporativas;25,8;602,5;59;561376500;4825987;10/08/2025
AJFI11;;Títulos e Val. Mob.;21,4;80,5;62;576316500;31626978;10/08/2025
ALMI11;;Lajes Corporativas;12,6;4387,5;33;351628500;112177;10/08/2025
ALZR11;;Híbrido;19;16,5;93;1979655000;122267250;10/08/2025
ANCR11;;Shoppings;2,8;534,5;34;4421055000;26736046;10/08/2025
APTO11;;Híbrido;27,8;108,5;86;67494300;4613227;10/08/2025
APXM11;;Híbrido;10,8;424,5;7;523512000;2830142;10/08/2025
AROA11;;Outros;14,8;4,5;106;239976000;167927832;10/08/2025
ATSA11;;Shoppings;6;152,5;65;199707000;1752141;10/08/2025
AURB11;;Logística;1,2;40,5;93;105017250;899514;10/08/2025
BARI11;;Títulos e Val. Mob.;27,2;1075,5;87;634162500;4635191;10/08/2025
BBFI11;;Lajes Corporativas;0;-0,5;5;136143750;131000;10/08/2025
BBIG11;;Shoppings;28,4;9,5;75;1385527500;99121994;10/08/2025
BBRC11;;Outros;25,6;1283,5;95;249132000;1591000;10/08/2025
BGRB11;;Lajes Corporativas;10,4;483,5;82;352434000;1933933;10/08/2025
BIME11;;Híbrido;30,2;106,5;83;73609950;5846602;10/08/2025
BIPD11;;Títulos e Val. Mob.;9,4;4835,5;98;169834500;111439;10/08/2025
BLCA11;;Lajes Corporativas;13,4;634,5;73;309663000;1601000;10/08/2025
BLMG11;;Outros;27,2;415,5;45;499660500;4675548;10/08/2025
BLMO11;;Lajes Corporativas;14;58,5;8;156465000;995814;10/08/2025
BLOG11;;Títulos e Val. Mob.;9,8;4,5;89;520384500;30797704;10/08/2025
BMLC11;;Híbrido;17,4;845,5;92;158430000;999405;10/08/2025
BNFS11;;Outros;37,2;1334,5;91;82034100;701000;10/08/2025
BPML11;;Híbrido;31;1251,5;62;1408780500;7442745;10/08/2025
BRCO11;;Logística;19,4;1061,5;92;2812260000;15906133;10/08/2025
BRCR11;;Híbrido;27,2;555,5;48;3395130000;26639202;10/08/2025
BRIM11;;Residencial;34,2;13952,5;124;69126150;125137;10/08/2025
BROF11;;Híbrido;23;636,5;5;1885350000;11611812;10/08/2025
BTAL11;;Outros;26;1025,5;68;1011927000;5983736;10/08/2025
BTHI11;;Hotel;21,2;450,5;61;948928500;9219512;10/08/2025
BTLG11;;Híbrido;18,8;942,5;95;6760425000;43250151;10/08/2025
BTRA11;;Outros;17,6;444,5;45;562441500;3365559;10/08/2025
BTSI11;;Híbrido;16,6;801,5;94;1013373000;5776335;10/08/2025
